scorer,Parth,Parth,Parth,Parth,Parth,Parth,Parth,Parth
bodyparts,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4
coords,x,y,x,y,x,y,x,y
labeled-data\rat9_front\good_reach_2_12163-12211\img12163.png,,,,,,,,
labeled-data\rat9_front\good_reach_2_12163-12211\img12164.png,,,,,,,,
labeled-data\rat9_front\good_reach_2_12163-12211\img12165.png,,,115.58650757790909,78.84398801993237,113.67589334125114,83.4294621879115,,
labeled-data\rat9_front\good_reach_2_12163-12211\img12166.png,119.78985889855664,78.84398801993237,115.20438473057752,81.51884795125352,111.76527910459316,84.57583072990629,103.35857646329808,89.16130489788542
labeled-data\rat9_front\good_reach_2_12163-12211\img12167.png,126.66807015052535,78.46186517260077,120.17198174588825,82.66521649324831,112.14740195192473,84.19370788257469,104.88706785262445,88.39705920322223
labeled-data\rat9_front\good_reach_2_12163-12211\img12168.png,130.1071757765097,85.34007642456947,122.08259598254622,87.63281350855904,111.00103340992996,85.34007642456947,104.50494500529285,88.77918205055383
labeled-data\rat9_front\good_reach_2_12163-12211\img12169.png,129.3429300818465,86.86856781389585,122.4647188298778,86.86856781389585,109.85466486793518,85.72219927190106,102.97645361596648,87.63281350855904
labeled-data\rat9_front\good_reach_2_12163-12211\img12170.png,128.9608072345149,86.48644496656426,123.228964524541,87.25069066122745,109.47254202060358,87.63281350855904,102.59433076863488,87.25069066122745
labeled-data\rat9_front\good_reach_2_12163-12211\img12171.png,128.57868438718333,85.72219927190106,121.70047313521462,87.63281350855904,110.23678771526679,87.25069066122745,103.74069931062965,87.25069066122745
labeled-data\rat9_front\good_reach_2_12163-12211\img12172.png,127.81443869252013,86.10432211923266,120.17198174588825,86.86856781389585,110.61891056259836,88.01493635589064,103.74069931062965,88.39705920322223
labeled-data\rat9_front\good_reach_2_12163-12211\img12173.png,125.52170160853055,87.25069066122745,119.40773605122504,87.25069066122745,109.85466486793518,88.77918205055383,102.59433076863488,88.77918205055383
labeled-data\rat9_front\good_reach_2_12163-12211\img12174.png,122.4647188298778,88.77918205055383,117.87924466189867,88.39705920322223,111.76527910459316,86.86856781389585,103.74069931062965,88.77918205055383
labeled-data\rat9_front\good_reach_2_12163-12211\img12175.png,121.31835028788302,84.57583072990629,117.87924466189867,87.25069066122745,114.05801618858271,88.39705920322223,105.65131354728763,87.63281350855904
labeled-data\rat9_front\good_reach_2_12163-12211\img12176.png,119.02561320389344,84.57583072990629,117.49712181456707,86.10432211923266,113.67589334125114,87.25069066122745,105.65131354728763,87.63281350855904
labeled-data\rat9_front\good_reach_2_12163-12211\img12177.png,119.40773605122504,82.66521649324831,116.35075327257229,83.8115850352431,114.05801618858271,85.34007642456947,105.26919069995603,88.01493635589064
labeled-data\rat9_front\good_reach_2_12163-12211\img12178.png,118.64349035656187,83.04733934057991,116.35075327257229,83.8115850352431,112.91164764658794,86.10432211923266,107.179804936614,89.16130489788542
labeled-data\rat9_front\good_reach_2_12163-12211\img12179.png,118.64349035656187,83.04733934057991,115.58650757790909,82.28309364591672,113.29377049391954,84.57583072990629,106.03343639461923,87.63281350855904
labeled-data\rat9_front\good_reach_2_12163-12211\img12180.png,118.26136750923027,82.28309364591672,116.35075327257229,83.04733934057991,114.05801618858271,84.19370788257469,105.26919069995603,87.63281350855904
labeled-data\rat9_front\good_reach_2_12163-12211\img12181.png,118.26136750923027,81.13672510392193,115.96863042524069,82.28309364591672,113.29377049391954,84.19370788257469,106.03343639461923,88.77918205055383
labeled-data\rat9_front\good_reach_2_12163-12211\img12182.png,118.26136750923027,81.13672510392193,115.96863042524069,80.37247940925874,114.44013903591431,83.8115850352431,106.03343639461923,88.01493635589064
labeled-data\rat9_front\good_reach_2_12163-12211\img12183.png,117.87924466189867,79.99035656192714,115.58650757790909,80.37247940925874,114.82226188324591,83.04733934057991,107.5619277839456,88.77918205055383
labeled-data\rat9_front\good_reach_2_12163-12211\img12184.png,118.64349035656187,80.75460225659033,114.82226188324591,79.60823371459556,114.44013903591431,83.04733934057991,108.32617347860881,88.39705920322223
labeled-data\rat9_front\good_reach_2_12163-12211\img12185.png,118.64349035656187,79.99035656192714,113.80295503363672,79.71601068870545,110.30049935723497,84.54939952213986,105.29995015365272,88.37203884379869
labeled-data\rat9_front\good_reach_2_12163-12211\img12186.png,117.11499896723546,78.84398801993237,114.44013903591431,80.37247940925874,112.52952479925634,83.4294621879115,105.26919069995603,88.77918205055383
