scorer,Parth,Parth,Parth,Parth,Parth,Parth,Parth,Parth
bodyparts,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4
coords,x,y,x,y,x,y,x,y
labeled-data\rat9_front\good_reach_5_14306-14362\img14306.png,,,,,,,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14307.png,,,,,,,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14308.png,,,,,,,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14309.png,,,91.0170838604735,63.59108982468824,87.58314205675039,67.71181998915598,81.05865262967647,72.86273269474066
labeled-data\rat9_front\good_reach_5_14306-14362\img14310.png,99.60193836978131,64.62127236580517,96.85478492680282,70.45897343213447,88.61332459786733,73.54952105548527,81.7454409904211,75.26649195734683
labeled-data\rat9_front\good_reach_5_14306-14362\img14311.png,106.46982197722754,69.77218507138984,98.57175582866437,74.2363094162299,87.9265362371227,74.2363094162299,81.40204681004879,74.92309777697452
labeled-data\rat9_front\good_reach_5_14306-14362\img14312.png,105.09624525573828,73.89291523585759,99.60193836978131,75.60988613771914,87.9265362371227,74.2363094162299,81.7454409904211,75.60988613771914
labeled-data\rat9_front\good_reach_5_14306-14362\img14313.png,105.4396394361106,74.57970359660222,99.94533255015362,75.95328031809146,87.58314205675039,74.92309777697452,82.77562353153805,75.95328031809146
labeled-data\rat9_front\good_reach_5_14306-14362\img14314.png,104.75285107536597,75.60988613771914,100.28872673052594,75.95328031809146,88.95671877823965,75.26649195734683,82.43222935116573,75.60988613771914
labeled-data\rat9_front\good_reach_5_14306-14362\img14315.png,103.03588017350442,73.89291523585759,98.22836164829205,74.92309777697452,89.64350713898428,75.60988613771914,82.77562353153805,75.60988613771914
labeled-data\rat9_front\good_reach_5_14306-14362\img14316.png,100.97551509127054,73.54952105548527,97.19817910717511,74.92309777697452,90.33029549972888,75.26649195734683,82.77562353153805,76.29667449846377
labeled-data\rat9_front\good_reach_5_14306-14362\img14317.png,99.258544189409,73.54952105548527,96.51139074643051,73.89291523585759,89.30011295861196,75.26649195734683,84.8359886137719,75.95328031809146
labeled-data\rat9_front\good_reach_5_14306-14362\img14318.png,98.57175582866437,71.1457617928791,96.16799656605819,72.17594433399603,89.64350713898428,75.60988613771914,84.49259443339959,75.60988613771914
labeled-data\rat9_front\good_reach_5_14306-14362\img14319.png,96.85478492680282,69.42879089101754,95.48120820531356,71.1457617928791,89.98690131935656,75.26649195734683,85.17938279414422,75.60988613771914
labeled-data\rat9_front\good_reach_5_14306-14362\img14320.png,95.48120820531356,67.02503162841136,95.48120820531356,70.45897343213447,90.33029549972888,74.57970359660222,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14321.png,95.55809796675638,67.94526525959058,95.48120820531356,71.4891559732514,89.98690131935656,74.92309777697452,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14322.png,95.13781402494125,67.02503162841136,93.4208431230797,69.77218507138984,89.30011295861196,75.26649195734683,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14323.png,,,94.45102566419662,69.77218507138984,89.98690131935656,75.95328031809146,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14324.png,,,94.79441984456894,70.11557925176216,89.64350713898428,75.95328031809146,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14325.png,,,94.45102566419662,70.11557925176216,89.30011295861196,75.60988613771914,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14326.png,,,95.13781402494125,70.45897343213447,88.61332459786733,74.2363094162299,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14327.png,,,94.1076314838243,70.11557925176216,88.95671877823965,75.60988613771914,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14328.png,95.13781402494125,67.36842580878367,94.45102566419662,70.45897343213447,89.64350713898428,74.57970359660222,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14329.png,,,94.45102566419662,70.11557925176216,89.30011295861196,74.57970359660222,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14330.png,,,94.45102566419662,70.11557925176216,88.61332459786733,74.92309777697452,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14331.png,,,94.79441984456894,70.11557925176216,89.30011295861196,74.92309777697452,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14332.png,,,94.45102566419662,69.42879089101754,88.61332459786733,74.57970359660222,,
labeled-data\rat9_front\good_reach_5_14306-14362\img14333.png,,,94.79441984456894,69.77218507138984,88.95671877823965,74.92309777697452,,
